Channel	Data	Channel	Data
0	0	0	0
1	0	1	0
2	0	2.00E+00	0
3	0	3.00E+00	0
4	0	4.00E+00	0
5	0	5.00E+00	0
6	527	6.00E+00	222
7	509	7.00E+00	194
8	500	8.00E+00	185
9	484	9.00E+00	194
10	492	1.00E+01	169
11	501	1.10E+01	172
12	467	1.20E+01	196
13	495	1.30E+01	198
14	516	14	180
15	508	15	187
16	476	16	172
17	519	17	204
18	476	18	202
19	526	19	207
20	490	20	196
21	472	21	234
22	482	22	200
23	482	23	209
24	505	24	187
25	467	25	193
26	517	26	208
27	482	27	204
28	527	28	203
29	487	29	215
30	482	30	191
31	483	31	208
32	558	32	204
33	488	33	194
34	494	34	214
35	515	35	192
36	465	36	195
37	497	37	188
38	488	38	186
39	490	39	203
40	473	40	194
41	476	41	189
42	510	42	185
43	486	43	184
44	508	44	173
45	500	45	188
46	504	46	189
47	518	47	196
48	491	48	192
49	475	49	178
50	466	50	221
51	527	51	182
52	487	52	201
53	494	53	192
54	525	54	198
55	502	55	179
56	481	56	159
57	527	57	181
58	520	58	201
59	499	59	201
60	494	60	181
61	489	61	178
62	511	62	187
63	514	63	180
64	458	64	182
65	536	65	170
66	497	66	177
67	520	67	166
68	479	68	152
69	534	69	193
70	497	70	196
71	506	71	195
72	460	72	189
73	503	73	184
74	491	74	181
75	480	75	173
76	483	76	164
77	490	77	187
78	495	78	173
79	499	79	169
80	550	80	181
81	535	81	172
82	539	82	177
83	503	83	173
84	508	84	172
85	525	85	174
86	487	86	169
87	512	87	178
88	496	88	181
89	470	89	164
90	502	90	201
91	502	91	164
92	527	92	171
93	495	93	194
94	496	94	153
95	489	95	180
96	502	96	179
97	532	97	156
98	559	98	202
99	532	99	160
100	484	100	166
101	489	101	174
102	503	102	141
103	471	103	167
104	480	104	180
105	482	105	170
106	517	106	140
107	517	107	169
108	482	108	156
109	461	109	160
110	479	110	157
111	506	111	149
112	505	112	161
113	519	113	153
114	475	114	159
115	525	115	132
116	510	116	140
117	495	117	151
118	513	118	189
119	505	119	158
120	485	120	153
121	499	121	142
122	485	122	143
123	469	123	171
124	494	124	158
125	557	125	166
126	477	126	163
127	513	127	155
128	476	128	147
129	497	129	159
130	501	130	145
131	470	131	154
132	536	132	144
133	511	133	129
134	494	134	130
135	500	135	147
136	450	136	158
137	513	137	142
138	494	138	136
139	483	139	158
140	487	140	148
141	539	141	150
142	509	142	168
143	494	143	147
144	539	144	160
145	472	145	115
146	488	146	147
147	526	147	148
148	534	148	175
149	519	149	165
150	481	150	137
151	519	151	156
152	478	152	151
153	489	153	150
154	480	154	142
155	489	155	148
156	512	156	160
157	513	157	124
158	470	158	139
159	509	159	162
160	481	160	157
161	467	161	155
162	523	162	150
163	520	163	137
164	492	164	149
165	546	165	146
166	528	166	143
167	497	167	146
168	477	168	117
169	521	169	139
170	496	170	131
171	481	171	129
172	528	172	158
173	511	173	139
174	511	174	132
175	497	175	140
176	500	176	154
177	513	177	141
178	492	178	165
179	504	179	143
180	508	180	168
181	490	181	135
182	517	182	149
183	489	183	135
184	507	184	148
185	505	185	149
186	515	186	141
187	506	187	141
188	502	188	130
189	531	189	144
190	494	190	139
191	515	191	112
192	483	192	152
193	473	193	143
194	515	194	143
195	522	195	133
196	505	196	143
197	515	197	147
198	466	198	130
199	475	199	139
200	442	200	154
201	507	201	138
202	538	202	146
203	461	203	116
204	537	204	135
205	533	205	133
206	532	206	120
207	505	207	143
208	459	208	143
209	464	209	148
210	477	210	139
211	510	211	142
212	496	212	146
213	535	213	134
214	482	214	136
215	525	215	123
216	456	216	124
217	487	217	121
218	464	218	127
219	500	219	127
220	490	220	149
221	482	221	133
222	539	222	142
223	509	223	122
224	483	224	108
225	505	225	144
226	499	226	127
227	512	227	125
228	541	228	139
229	484	229	115
230	503	230	122
231	500	231	109
232	499	232	136
233	469	233	116
234	506	234	137
235	467	235	123
236	541	236	128
237	497	237	132
238	530	238	122
239	467	239	113
240	535	240	130
241	496	241	147
242	473	242	110
243	491	243	107
244	507	244	127
245	508	245	103
246	489	246	118
247	512	247	102
248	483	248	138
249	481	249	110
250	496	250	138
251	526	251	112
252	481	252	113
253	478	253	112
254	483	254	112
255	498	255	124
256	491	256	100
257	475	257	111
258	503	258	107
259	530	259	128
260	528	260	119
261	519	261	118
262	497	262	101
263	498	263	107
264	559	264	111
265	486	265	118
266	497	266	109
267	515	267	121
268	512	268	109
269	501	269	113
270	502	270	99
271	499	271	113
272	494	272	105
273	485	273	117
274	488	274	116
275	503	275	120
276	515	276	122
277	455	277	106
278	538	278	104
279	517	279	115
280	474	280	110
281	504	281	109
282	477	282	128
283	466	283	105
284	527	284	120
285	486	285	102
286	521	286	94
287	504	287	146
288	504	288	119
289	488	289	119
290	511	290	85
291	470	291	120
292	496	292	116
293	508	293	115
294	531	294	104
295	489	295	104
296	462	296	98
297	494	297	109
298	530	298	127
299	487	299	94
300	483	300	85
301	505	301	111
302	492	302	102
303	520	303	115
304	500	304	98
305	462	305	103
306	506	306	96
307	513	307	89
308	507	308	121
309	493	309	88
310	495	310	112
311	464	311	104
312	507	312	104
313	495	313	97
314	533	314	97
315	502	315	113
316	525	316	104
317	518	317	116
318	501	318	105
319	470	319	108
320	489	320	85
321	498	321	102
322	571	322	105
323	523	323	99
324	531	324	96
325	504	325	102
326	481	326	86
327	501	327	112
328	500	328	104
329	525	329	93
330	516	330	95
331	491	331	92
332	527	332	103
333	548	333	104
334	536	334	97
335	490	335	85
336	496	336	99
337	497	337	100
338	494	338	96
339	520	339	96
340	514	340	86
341	533	341	111
342	498	342	96
343	481	343	89
344	527	344	98
345	524	345	92
346	479	346	89
347	499	347	80
348	503	348	92
349	539	349	94
350	498	350	98
351	481	351	78
352	470	352	95
353	501	353	70
354	498	354	90
355	536	355	96
356	486	356	92
357	524	357	109
358	504	358	100
359	522	359	97
360	512	360	85
361	505	361	92
362	508	362	81
363	498	363	90
364	461	364	96
365	508	365	76
366	543	366	100
367	549	367	101
368	521	368	68
369	506	369	97
370	505	370	107
371	524	371	92
372	471	372	93
373	511	373	95
374	485	374	71
375	538	375	85
376	492	376	87
377	491	377	90
378	483	378	88
379	476	379	89
380	500	380	100
381	495	381	91
382	474	382	90
383	491	383	83
384	475	384	77
385	476	385	85
386	544	386	85
387	478	387	69
388	524	388	97
389	539	389	84
390	540	390	86
391	480	391	85
392	505	392	79
393	505	393	75
394	532	394	91
395	515	395	72
396	537	396	78
397	538	397	80
398	481	398	75
399	491	399	67
400	464	400	94
401	505	401	76
402	491	402	94
403	538	403	78
404	523	404	85
405	486	405	83
406	521	406	79
407	516	407	92
408	440	408	82
409	495	409	89
410	479	410	78
411	506	411	90
412	485	412	81
413	480	413	67
414	561	414	96
415	496	415	71
416	495	416	75
417	515	417	76
418	467	418	83
419	575	419	93
420	458	420	78
421	503	421	64
422	495	422	68
423	494	423	89
424	508	424	91
425	510	425	89
426	544	426	82
427	486	427	80
428	519	428	69
429	485	429	89
430	495	430	78
431	532	431	81
432	524	432	55
433	508	433	69
434	472	434	72
435	533	435	84
436	524	436	77
437	534	437	63
438	495	438	71
439	513	439	72
440	522	440	80
441	487	441	78
442	499	442	81
443	468	443	61
444	502	444	81
445	516	445	80
446	505	446	83
447	525	447	74
448	474	448	79
449	477	449	77
450	488	450	63
451	500	451	65
452	507	452	74
453	522	453	72
454	466	454	86
455	494	455	80
456	462	456	73
457	519	457	67
458	505	458	76
459	517	459	63
460	477	460	55
461	522	461	79
462	480	462	73
463	525	463	67
464	499	464	63
465	481	465	73
466	486	466	72
467	540	467	69
468	467	468	82
469	493	469	73
470	487	470	65
471	557	471	82
472	563	472	66
473	530	473	78
474	441	474	55
475	504	475	68
476	518	476	75
477	486	477	59
478	498	478	70
479	479	479	61
480	505	480	72
481	515	481	62
482	483	482	61
483	521	483	72
484	518	484	55
485	452	485	65
486	470	486	59
487	505	487	65
488	534	488	69
489	533	489	71
490	550	490	65
491	515	491	68
492	495	492	67
493	479	493	82
494	515	494	75
495	489	495	58
496	500	496	64
497	477	497	75
498	508	498	61
499	504	499	65
500	527	500	89
501	511	501	76
502	486	502	50
503	491	503	68
504	545	504	60
505	520	505	59
506	492	506	71
507	474	507	79
508	519	508	78
509	484	509	65
510	500	510	62
511	479	511	59
512	517	512	67
513	508	513	64
514	506	514	67
515	490	515	67
516	493	516	67
517	513	517	62
518	479	518	47
519	472	519	67
520	459	520	55
521	486	521	69
522	511	522	62
523	493	523	73
524	541	524	63
525	493	525	59
526	517	526	59
527	489	527	61
528	524	528	65
529	493	529	53
530	492	530	51
531	481	531	48
532	469	532	65
533	517	533	56
534	533	534	66
535	486	535	63
536	471	536	52
537	519	537	66
538	500	538	66
539	488	539	70
540	515	540	64
541	488	541	61
542	529	542	64
543	496	543	50
544	503	544	53
545	508	545	55
546	497	546	52
547	514	547	65
548	493	548	55
549	489	549	56
550	508	550	47
551	527	551	55
552	488	552	63
553	486	553	60
554	487	554	63
555	472	555	55
556	535	556	55
557	481	557	69
558	509	558	49
559	525	559	73
560	490	560	49
561	492	561	62
562	514	562	55
563	512	563	68
564	520	564	67
565	535	565	45
566	513	566	65
567	504	567	47
568	533	568	55
569	534	569	62
570	494	570	58
571	504	571	58
572	480	572	63
573	519	573	61
574	459	574	59
575	466	575	54
576	481	576	61
577	512	577	50
578	499	578	65
579	510	579	51
580	499	580	42
581	514	581	64
582	520	582	65
583	497	583	42
584	453	584	55
585	490	585	64
586	473	586	55
587	504	587	51
588	492	588	53
589	508	589	58
590	482	590	63
591	519	591	48
592	509	592	67
593	491	593	56
594	510	594	70
595	483	595	60
596	490	596	50
597	493	597	48
598	537	598	41
599	489	599	50
600	514	600	44
601	523	601	49
602	514	602	63
603	485	603	54
604	525	604	51
605	515	605	52
606	522	606	40
607	502	607	51
608	522	608	49
609	478	609	46
610	468	610	48
611	508	611	64
612	491	612	50
613	497	613	54
614	464	614	39
615	525	615	50
616	448	616	61
617	500	617	59
618	500	618	51
619	524	619	61
620	495	620	56
621	500	621	44
622	512	622	50
623	492	623	48
624	500	624	48
625	531	625	42
626	507	626	55
627	504	627	50
628	542	628	45
629	513	629	51
630	509	630	43
631	509	631	49
632	497	632	56
633	477	633	45
634	483	634	40
635	499	635	59
636	505	636	47
637	490	637	40
638	474	638	47
639	514	639	50
640	505	640	41
641	486	641	49
642	508	642	48
643	522	643	51
644	468	644	50
645	490	645	39
646	520	646	49
647	482	647	50
648	493	648	54
649	500	649	65
650	516	650	48
651	487	651	50
652	501	652	43
653	478	653	45
654	538	654	47
655	501	655	55
656	499	656	52
657	520	657	58
658	497	658	49
659	496	659	46
660	502	660	44
661	490	661	57
662	541	662	45
663	518	663	59
664	515	664	39
665	480	665	50
666	460	666	42
667	458	667	59
668	512	668	48
669	495	669	48
670	484	670	38
671	461	671	38
672	517	672	56
673	468	673	53
674	495	674	47
675	508	675	48
676	506	676	46
677	492	677	32
678	517	678	45
679	520	679	44
680	528	680	42
681	507	681	43
682	531	682	53
683	516	683	43
684	521	684	43
685	516	685	51
686	485	686	51
687	501	687	53
688	482	688	45
689	494	689	35
690	485	690	50
691	509	691	49
692	522	692	37
693	508	693	54
694	516	694	44
695	489	695	54
696	533	696	44
697	512	697	34
698	514	698	47
699	489	699	33
700	507	700	42
701	495	701	38
702	506	702	39
703	511	703	39
704	510	704	40
705	494	705	45
706	465	706	46
707	533	707	44
708	516	708	42
709	464	709	44
710	482	710	52
711	524	711	41
712	504	712	32
713	500	713	42
714	507	714	59
715	492	715	45
716	473	716	52
717	515	717	42
718	484	718	42
719	502	719	35
720	521	720	43
721	511	721	34
722	505	722	39
723	503	723	44
724	521	724	35
725	501	725	47
726	526	726	36
727	513	727	52
728	529	728	52
729	498	729	44
730	462	730	29
731	511	731	45
732	475	732	47
733	497	733	50
734	473	734	54
735	512	735	37
736	478	736	50
737	486	737	39
738	524	738	47
739	510	739	34
740	523	740	35
741	509	741	40
742	493	742	38
743	530	743	40
744	482	744	56
745	448	745	36
746	502	746	40
747	482	747	51
748	505	748	42
749	472	749	37
750	540	750	35
751	512	751	45
752	497	752	39
753	460	753	53
754	480	754	41
755	505	755	34
756	517	756	40
757	498	757	42
758	503	758	37
759	476	759	49
760	481	760	41
761	491	761	29
762	545	762	43
763	524	763	33
764	526	764	33
765	518	765	33
766	501	766	44
767	473	767	40
768	506	768	44
769	519	769	45
770	555	770	23
771	508	771	33
772	501	772	39
773	499	773	40
774	522	774	39
775	484	775	29
776	501	776	36
777	530	777	32
778	521	778	34
779	489	779	28
780	511	780	45
781	524	781	29
782	526	782	44
783	512	783	40
784	511	784	42
785	492	785	32
786	495	786	28
787	480	787	36
788	503	788	36
789	531	789	46
790	497	790	30
791	475	791	31
792	500	792	34
793	492	793	41
794	490	794	34
795	471	795	28
796	466	796	37
797	491	797	27
798	500	798	35
799	516	799	38
800	535	800	40
801	525	801	32
802	490	802	26
803	488	803	45
804	499	804	44
805	464	805	40
806	522	806	39
807	488	807	39
808	502	808	44
809	511	809	35
810	497	810	37
811	497	811	31
812	536	812	38
813	515	813	43
814	521	814	27
815	504	815	33
816	514	816	28
817	513	817	30
818	551	818	30
819	524	819	26
820	507	820	32
821	491	821	31
822	550	822	36
823	450	823	33
824	462	824	36
825	449	825	36
826	506	826	28
827	512	827	25
828	534	828	33
829	511	829	38
830	492	830	25
831	491	831	39
832	468	832	29
833	545	833	34
834	477	834	41
835	497	835	37
836	485	836	51
837	509	837	39
838	518	838	29
839	468	839	25
840	511	840	33
841	480	841	39
842	507	842	38
843	510	843	30
844	522	844	27
845	491	845	37
846	499	846	20
847	530	847	38
848	503	848	28
849	523	849	41
850	502	850	35
851	478	851	34
852	518	852	34
853	499	853	34
854	489	854	33
855	519	855	28
856	502	856	28
857	483	857	41
858	481	858	29
859	544	859	42
860	517	860	33
861	495	861	30
862	481	862	34
863	487	863	28
864	470	864	27
865	505	865	20
866	492	866	34
867	497	867	29
868	505	868	22
869	472	869	19
870	523	870	22
871	484	871	21
872	550	872	31
873	489	873	37
874	502	874	34
875	542	875	27
876	514	876	29
877	545	877	32
878	458	878	35
879	479	879	37
880	504	880	30
881	441	881	35
882	515	882	30
883	487	883	28
884	511	884	33
885	469	885	27
886	510	886	23
887	484	887	31
888	457	888	33
889	493	889	36
890	504	890	32
891	510	891	25
892	508	892	32
893	506	893	24
894	503	894	29
895	519	895	29
896	529	896	31
897	518	897	28
898	521	898	28
899	492	899	31
900	492	900	33
901	492	901	25
902	484	902	30
903	496	903	17
904	507	904	29
905	504	905	35
906	484	906	33
907	486	907	26
908	528	908	29
909	492	909	23
910	489	910	26
911	470	911	32
912	520	912	31
913	517	913	37
914	477	914	20
915	531	915	30
916	286	916	26
917	547	917	11
918	508	918	29
919	538	919	36
920	523	920	35
921	562	921	20
922	515	922	21
923	484	923	23
924	552	924	29
925	514	925	32
926	541	926	27
927	480	927	21
928	497	928	27
929	506	929	35
930	514	930	29
931	521	931	25
932	519	932	31
933	495	933	26
934	529	934	26
935	528	935	35
936	560	936	26
937	512	937	23
938	491	938	30
939	498	939	33
940	480	940	21
941	492	941	19
942	475	942	21
943	493	943	26
944	517	944	23
945	479	945	26
946	517	946	27
947	508	947	25
948	555	948	24
949	480	949	31
950	461	950	26
951	507	951	27
952	480	952	25
953	515	953	34
954	512	954	32
955	497	955	23
956	512	956	16
957	506	957	25
958	517	958	28
959	462	959	29
960	472	960	26
961	535	961	43
962	527	962	20
963	503	963	28
964	532	964	22
965	466	965	29
966	528	966	30
967	489	967	25
968	505	968	29
969	496	969	28
970	485	970	29
971	464	971	22
972	472	972	32
973	533	973	19
974	512	974	25
975	529	975	30
976	492	976	21
977	499	977	16
978	485	978	34
979	478	979	26
980	508	980	24
981	471	981	25
982	495	982	17
983	473	983	22
984	487	984	22
985	470	985	28
986	502	986	25
987	541	987	22
988	533	988	26
989	491	989	30
990	515	990	17
991	544	991	25
992	493	992	19
993	522	993	30
994	479	994	27
995	500	995	22
996	514	996	26
997	538	997	26
998	491	998	23
999	497	999	30
1000	479	1000	24
1001	495	1001	20
1002	507	1002	27
1003	460	1003	27
1004	519	1004	19
1005	499	1005	16
1006	488	1006	20
1007	535	1007	24
1008	525	1008	24
1009	521	1009	29
1010	478	1010	24
1011	506	1011	31
1012	521	1012	18
1013	496	1013	21
1014	475	1014	21
1015	487	1015	25
1016	428	1016	28
1017	550	1017	23
1018	502	1018	31
1019	511	1019	25
1020	512	1020	21
1021	497	1021	15
1022	539	1022	19
1023	566	1023	31
1024	533	1024	27
1025	507	1025	17
1026	498	1026	20
1027	536	1027	31
1028	524	1028	21
1029	516	1029	22
1030	458	1030	18
1031	508	1031	24
1032	507	1032	18
1033	522	1033	15
1034	511	1034	24
1035	529	1035	27
1036	554	1036	28
1037	505	1037	29
1038	519	1038	24
1039	491	1039	16
1040	516	1040	22
1041	472	1041	22
1042	517	1042	21
1043	497	1043	24
1044	495	1044	21
1045	548	1045	24
1046	515	1046	26
1047	515	1047	17
1048	494	1048	19
1049	451	1049	20
1050	515	1050	22
1051	512	1051	20
1052	525	1052	29
1053	525	1053	20
1054	506	1054	27
1055	487	1055	23
1056	528	1056	26
1057	511	1057	24
1058	485	1058	23
1059	535	1059	25
1060	497	1060	23
